Alimento,Cantidad (gr/ml),HC (gr),Proteinas (gr),Grasas (gr),Na (gr),Ca (gr),Fe (gr),Azucares Libres (gr),AGS (gr),AGNI (gr),AG p (gr),Fibra (gr)
Leche fluida entera,270.0,12.42,8.37,7.83,0.1539,0.28350000000000003,0.000189,0.0,4.99,2.19,0.52,0.0
Leche entera en polvo,11.0,4.51,2.84,2.73,0.04444,0.099,6e-05,0.0,1.62,0.77,0.06,0.0
Yogurt,19.0,2.45,0.51,0.49,0.00799,0.01767,5e-06,0.0,0.32,0.14,0.014,0.0
Queso crema,1.66,0.06,0.1,0.37,0.00123,0.00093,0.0,0.0,0.36,0.11,0.01,0.0
Queso cuartirolo,3.66,0.06,0.77,0.8,0.02084,0.01654,0.0,0.0,0.76,0.21,0.02,0.0
Queso rallar,1.66,0.06,0.55,0.45,0.02042,0.01578,0.0,0.0,0.36,0.11,0.008,0.0
Huevo,16.0,0.0,1.92,1.89,0.0216,0.008960000000000001,0.0004,0.0,0.51,0.72,0.46,0.0
Asado,50.0,0.0,9.3,7.5,0.033,0.0075,0.0011200000000000001,0.0,2.93,3.27,0.189,0.0
Paleta ,15.0,0.0,3.0,1.5,0.0099,0.0018000000000000002,0.00034,0.0,0.88,0.98,0.056,0.0
Hueso c/carne,15.0,0.0,3.0,1.5,0.0099,0.0018000000000000002,0.00034,0.0,0.88,0.98,0.056,0.0
Carne picada,27.0,0.0,5.4,2.7,0.01782,0.0032400000000000003,0.0006,0.0,1.58,1.77,0.1,0.0
Bola de Lomo,34.0,0.0,7.21,0.48,0.02142,0.00102,0.00118,0.0,1.99,2.2,0.13,0.0
Higado,9.0,0.54,1.77,0.29,0.00774,0.00035999999999999997,0.0008900000000000001,0.0,0.11,0.043,0.042,0.0
pollo,63.0,0.0,13.23,2.39,0.04599,0.00756,0.00098,0.0,1.87,2.72,1.43,0.0
pescado,11.0,0.0,2.14,0.68,0.00588,0.00478,0.00012,0.0,0.17,0.17,0.2,0.0
Acelga,25.0,0.0,0.73,0.0,0.058750000000000004,0.02875,0.00045000000000000004,0.0,0.0,0.0,0.0,0.4
Zanahoria,27.0,2.16,0.29,0.0,0.005940000000000001,0.00999,0.00013000000000000002,0.0,0.0,0.0,0.0,0.82
Tomate,69.0,2.83,0.69,0.0,0.0034500000000000004,0.00621,0.00115,0.0,0.0,0.0,0.0,0.83
Lechuga,22.0,0.33,0.3,0.0,0.0061600000000000005,0.00792,0.00017999999999999998,0.0,0.0,0.0,0.0,0.29
Cebolla,44.0,0.97,0.35,0.0,0.01144,0.01144,0.00025,0.0,0.0,0.0,0.0,0.57
Zapallo,29.0,1.33,0.12,0.0,0.00116,0.0049299999999999995,0.00017,0.0,0.0,0.0,0.0,0.14
Manzana,61.0,9.09,0.18,0.0,0.0030499999999999998,0.00244,0.00031,0.0,0.0,0.0,0.0,0.85
Naranja,43.0,5.33,0.43,0.0,0.0030099999999999997,0.00903,0.00015,0.0,0.0,0.0,0.0,0.82
Mandarina,44.0,5.28,0.44,0.0,0.0030800000000000003,0.00924,0.00015,0.0,0.0,0.0,0.0,0.84
pera,16.0,2.03,0.11,0.0,0.00032,0.00128,3e-05,0.0,0.0,0.0,0.0,0.38
Banana,32.0,6.49,0.38,0.0,0.00032,0.0022400000000000002,0.00013000000000000002,0.0,0.0,0.0,0.0,0.58
Pan Frances,234.0,140.4,23.4,0.0,0.31824,0.04446,0.00779,0.0,0.0,0.0,0.0,6.32
Arroz,36.0,28.51,2.48,0.0,0.0014399999999999999,0.0032400000000000003,0.00025,0.0,0.0,0.0,0.0,0.97
Harina trigo,45.0,30.92,4.63,1.21,0.0045000000000000005,0.00495,0.00068,0.0,0.19,0.11,0.51,1.44
Harina maiz,6.0,4.4,0.66,0.19,0.0021000000000000003,0.0015600000000000002,0.00017,0.0,0.02,0.05,0.08,0.1
Fideos secos,56.0,40.65,7.15,0.88,0.00392,0.01008,0.0024,0.0,0.126,0.104,0.362,1.34
Papa,229.0,40.53,6.18,0.0,0.05496,0.05725,0.00197,0.0,0.0,0.0,0.0,3.66
Batata,9.0,1.51,0.09,0.0,0.00054,0.0030600000000000002,2e-05,0.0,0.0,0.0,0.0,0.27
Aceite girasol,34.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,3.71,7.82,20.98,0.0
Manteca,2.0,0.0,0.0,1.64,0.00446,0.0028,0.0,0.0,1.005,0.59,0.025,0.0
Margarina,3.0,0.0,0.0,2.49,0.02775,0.00087,0.0,0.0,0.61,0.39,1.49,0.0
Mayonesa,2.0,0.0,0.0,1.58,0.01738,0.00054,1e-05,0.0,0.18,0.43,0.97,0.0
Mortadela,2.0,0.02,0.35,0.38,0.02256,0.00012,2e-05,0.0,0.16,0.0,0.01,0.0
Paleta cocida,1.0,0.09,0.1,0.05,0.01128,0.00012,2e-05,0.0,0.09,0.0,0.0,0.0
Galletitas saladas,13.0,7.8,1.75,2.01,0.04199,0.00572,0.00044,0.0,0.49,1.2,0.31,0.26
Galletitas dulces,6.0,4.35,0.51,0.61,0.013980000000000001,0.00252,0.00013000000000000002,4.2,0.17,0.34,0.05,0.02
Dulce de leche,2.33,1.63,0.15,0.15,0.00322,0.005889999999999999,0.0,1.63,0.09,0.041,0.004,0.0
Mermelada,2.33,1.74,0.0,0.0,0.00114,0.00069,2e-05,1.74,0.0,0.0,0.0,0.03
Dulce de batata,2.33,1.63,0.02,0.0,0.00044,0.0005600000000000001,1e-05,1.63,0.0,0.0,0.0,0.0
Azucar,43.0,43.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0
Gaseosa,21.0,2.31,0.0,0.0,0.00084,0.00063,0.0,2.31,0.0,0.0,0.0,0.0
Jugo conc.,32.0,2.24,0.0,0.0,0.03008,0.0,0.0,2.24,0.0,0.0,0.0,0.0
Arvejas en lata,8.0,1.46,0.48,0.06,0.007024,0.0043300000000000005,0.00012,0.0,0.001,0.0,0.0,0.27
Tomate envasado,7.0,0.21,0.056,0.009,0.008960000000000001,0.00217,7.000000000000001e-05,0.0,0.0,0.0,0.0,0.06
Caldo conc.,1.0,0.16,0.17,0.04,0.24,0.0006,2e-05,0.0,0.01,0.01,0.001,0.0
Cerveza,21.0,0.031,0.063,0.012,0.00084,0.0010500000000000002,4e-06,0.0,0.0,0.0,0.0,0.0
Vino,22.0,0.704,0.044,0.0,0.00132,0.00176,7.000000000000001e-05,0.0,0.0,0.0,0.0,0.0
Soda,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sal fina,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vina re,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cafe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yerba,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
